county_fips,poverty_estimate,poverty_percent,median_household_income,percent_uninsured,population_2022
06111,78 211,"9,5",101 981,,832605
06113,33 935,"16,1",82 359,,222115
06115,12 337,"14,9",63 626,,84310
08001,53 153,"10,2",89 849,,527575
08003,2 727,"17,4",53 942,,16592
08005,52 215,"8,0",93 525,,655808
08007,1 362,"9,8",66 025,,14003
08009,642,"19,0",47 147,,3432
08011,1 120,"27,0",42 958,,5399
08013,37 074,"11,8",96 584,,327468
08014,4 014,"5,3",114 746,,76121
08015,1 906,"10,0",75 151,,20223
08017,238,"14,0",62 891,,1732
08019,691,"7,4",90 350,,9355
08021,1 358,"18,1",49 141,,7579
08023,832,"23,2",36 970,,3603
08025,1 090,"35,6",49 785,,5614
08027,581,"10,9",67 766,,5335
08029,4 549,"14,6",53 910,,31602
08031,83 390,"11,9",87 619,,713252
08033,323,"13,2",56 695,,2455
08035,11 794,"3,1",140 768,,375988
08037,3 993,"7,2",105 813,,55285
08039,1 523,"5,5",120 394,,27799
08041,61 445,"8,5",82 248,,740567
08043,6 998,"16,8",57 275,,49621
08045,4 894,"8,0",86 566,,62271
08047,373,"6,4",89 805,,5891
08049,1 101,"7,0",88 059,,15769
08051,1 578,"9,7",88 855,,17267
08053,62,"8,0",70 675,,775
08055,1 356,"19,4",47 968,,7082
08057,175,"13,5",62 439,,1302
08059,37 513,"6,6",102 413,,576143
08061,209,"15,0",55 573,,1424
08063,786,"11,4",56 720,,6961
08065,798,"11,0",71 326,,7327
08067,6 407,"11,7",79 358,,56607
08069,39 357,"11,0",88 338,,366778
08071,2 476,"17,8",49 097,,14327
08073,745,"16,1",54 345,,5510
08075,2 774,"15,2",58 976,,20823
08077,16 577,"10,7",69 578,,158636
08079,81,"8,7",69 794,,931
08081,1 302,"10,0",69 088,,13177
08083,3 975,"15,2",58 345,,26468
08085,5 101,"11,7",65 736,,43811
08087,3 311,"11,5",65 599,,29239
08089,4 160,"23,2",46 607,,18303
08091,335,"6,6",90 837,,5100
08093,1 460,"8,2",88 020,,17939
08095,489,"11,2",68 571,,4449
08097,1 070,"6,4",111 291,,16876
08099,2 145,"18,6",48 832,,11854
08101,24 790,"14,9",58 314,,169544
08103,634,"9,9",71 630,,6569
08105,1 579,"14,1",56 877,,11325
08107,1 489,"6,0",104 407,,25007
08109,1 487,"22,5",45 048,,6623
08111,99,"12,4",62 732,,803
08113,562,"7,0",94 387,,8003
08115,319,"14,1",46 980,,2295
08117,2 651,"8,7",96 984,,30565
08119,1 928,"7,8",81 466,,24857
08121,569,"12,3",61 492,,4812
08123,31 318,"9,1",90 770,,350176
08125,1 280,"13,2",56 075,,9899
09110,97 319,"10,3",84 551,,981447
09120,41 540,"13,1",81 042,,327286
09130,11 880,"7,0",99 557,,176622
09140,43 191,"9,7",81 783,,454083
09150,8 047,"8,5",81 711,,96196
09160,8 813,"7,9",87 206,,113234
09170,60 090,"11,0",84 615,,573244
09180,28 992,"10,8",80 159,,280403
09190,45 839,"7,4",122 080,,623690
10001,19 204,"10,5",71 866,,186946
10003,56 547,"10,1",85 427,,575494
10005,24 092,"9,5",81 188,,255956
11001,91 474,"14,2",99 897,,671803
12001,50 816,"19,1",58 783,,284030
12003,3 338,"12,8",67 375,,27803
12005,21 668,"11,9",65 521,,185134
12007,4 028,"16,4",57 664,,27313
12009,62 175,"10,0",74 899,,630693
12011,257 252,"13,3",70 834,,1947026
12013,2 635,"22,2",46 766,,13464
12015,18 138,"9,1",65 040,,202661
12017,26 985,"16,9",52 534,,162529
12019,19 677,"8,8",84 364,,226589
12021,40 381,"10,3",81 821,,397994
12023,12 901,"19,0",54 060,,71908
12027,8 087,"24,8",47 097,,35312
12029,3 411,"22,1",40 587,,17124
12031,137 467,"13,9",70 203,,1016536
12033,50 147,"16,4",61 634,,324878
12035,11 424,"9,1",73 336,,126705
12037,2 050,"18,1",52 180,,12498
12039,10 947,"26,0",45 628,,43403
12041,2 619,"14,6",58 178,,18992
12043,2 100,"19,5",50 559,,12454
12045,2 425,"18,0",55 909,,15314
12047,2 715,"23,4",45 484,,13217
12049,5 867,"24,7",48 572,,25645
12051,8 590,"21,1",55 308,,41339
12053,24 654,"12,1",60 582,,206896
12055,16 289,"15,6",51 954,,105618
12057,191 075,"12,9",74 091,,1513301
12059,3 513,"19,6",50 118,,19651
12061,19 060,"11,5",69 462,,167352
12063,7 242,"17,5",50 625,,48211
12065,2 203,"16,0",56 900,,15042
12067,1 463,"21,4",50 775,,7786
12069,39 355,"9,7",67 637,,410139
12071,89 587,"11,1",71 607,,822453
12073,52 424,"18,7",61 560,,297369
12075,7 151,"15,9",55 147,,45260
12077,1 332,"21,9",49 514,,7603
12079,3 537,"21,2",46 141,,18198
12081,42 580,"10,1",72 176,,429125
12083,60 464,"15,6",54 517,,396415
12085,15 939,"10,1",80 678,,162006
12086,381 423,"14,5",66 952,,2673837
12087,10 680,"13,2",79 459,,81708
12089,6 603,"6,8",90 808,,97899
12091,16 979,"8,0",76 663,,216482
12093,7 027,"18,4",50 176,,40412
12095,178 037,"12,6",72 129,,1452726
12097,54 089,"12,9",63 782,,422545
12099,165 851,"11,1",76 713,,1518477
12101,65 148,"10,9",65 933,,608794
12103,117 299,"12,4",66 427,,961739
12105,120 353,"15,7",61 941,,787404
12107,16 484,"22,5",46 459,,74731
12109,17 860,"5,9",103 757,,306841
12111,47 534,"13,4",64 038,,358704
12113,18 064,"9,4",82 537,,198268
12115,38 638,"8,5",78 309,,462286
12117,52 808,"11,1",80 296,,478772
12119,12 830,"9,4",77 851,,144970
12121,8 054,"18,9",51 295,,45411
12123,3 831,"19,5",48 482,,21283
12125,2 070,"18,0",60 749,,15460
12127,66 107,"11,8",64 601,,579192
12129,3 771,"11,7",63 482,,35178
12131,9 000,"11,1",78 814,,83304
12133,4 538,"19,4",49 233,,25414
13001,3 644,"20,3",51 217,,18428
13003,1 717,"21,1",46 060,,8183
13005,2 485,"22,9",46 044,,11191
13007,599,"21,6",50 129,,2788
13009,9 253,"24,1",49 883,,43635
13011,2 328,"12,1",66 928,,19328
13013,8 282,"9,3",77 583,,89299
13015,11 545,"10,3",80 017,,112816
13017,4 489,"26,8",41 141,,17069
13019,3 947,"21,9",48 725,,18214
13021,34 064,"22,5",48 539,,156197
13023,1 862,"16,3",56 070,,12257
13025,2 928,"16,2",50 370,,18183
13027,4 067,"25,5",43 353,,16253
13029,3 864,"8,0",93 057,,48225
13031,18 278,"23,8",49 471,,83059
13033,5 264,"21,8",49 431,,24388
13035,3 119,"13,2",62 231,,26649
13037,1 282,"33,9",39 681,,5469
13039,6 772,"12,4",67 628,,57013
13043,1 974,"18,5",44 493,,11000
13045,15 981,"13,2",69 924,,124592
13047,7 508,"11,0",66 918,,68826
13049,2 345,"22,9",48 147,,12781
13051,45 884,"15,9",64 029,,301107
13053,1 029,"15,6",57 507,,8819
13055,4 271,"18,1",50 714,,24936
13057,15 654,"5,6",99 932,,281278
13059,31 580,"26,5",49 832,,129875
13061,700,"25,1",37 961,,2845
13063,42 575,"14,6",57 625,,296564
13065,1 410,"21,5",45 595,,6662
13067,61 108,"8,0",96 798,,771952
13069,7 959,"19,9",48 792,,43172
13071,10 128,"22,6",49 214,,45762
13073,11 298,"7,0",94 224,,162419
13075,3 527,"20,6",44 476,,17404
13077,11 387,"7,5",87 618,,152882
13079,2 034,"16,9",60 295,,12140
13081,4 833,"25,1",43 884,,19708
13083,1 745,"11,3",59 708,,16081
13085,2 398,"8,0",84 551,,30138
13087,6 363,"22,6",46 455,,28982
13089,101 463,"13,5",76 736,,762820
13091,4 391,"24,4",43 783,,19802
13093,2 155,"23,7",46 191,,10572
13095,22 306,"27,7",42 629,,82966
13097,14 898,"10,2",79 242,,147316
13099,2 461,"23,7",43 417,,10574
13101,774,"21,1",47 195,,3686
13103,5 859,"8,6",88 111,,69041
13105,3 171,"16,2",49 220,,19814
13107,4 490,"20,8",46 975,,22929
13109,2 186,"21,6",45 163,,10695
13111,2 932,"11,4",60 604,,25737
13113,7 155,"5,9",109 358,,122030
