Report_Fiscal_Year,CCN,avg_charge,avg_payment,charge_to_payment_ratio
2018,30105,522657916.0,149165199.0,3.503886425948455
2018,30107,127458407.0,40840883.0,3.1208533615690923
2018,30108,88220626.0,50680471.0,1.7407222991278042
2018,30110,1053191939.0,223410342.0,4.714159289009101
2018,30111,302009856.0,154860245.0,1.9502090804518617
2018,30112,75623999.0,29366709.0,2.5751608394389716
2018,30114,391680717.0,107453571.0,3.6451158705558515
2018,30115,1023862173.0,319800252.0,3.2015677492336687
2018,30117,165324782.0,47184725.0,3.5037775890396734
2018,30119,1006380677.0,304888180.0,3.300818933026528
2018,30121,469973482.0,146816939.0,3.2010848693691947
2018,30122,773045617.0,454466478.0,1.7009959027165036
2018,30123,533203488.0,160284478.0,3.3266071340981624
2018,30130,145981532.0,78710942.0,1.854653600766206
2018,30131,222796271.0,77462080.0,2.876197889341469
2018,30134,27053480.0,17943641.0,1.5076917778281453
2018,30136,14814311.0,77345233.0,0.19153489394750417
2018,30137,19903860.5,11885907.0,1.6745764963498369
2018,31300,10713480.0,34550628.0,0.3100806156113863
2018,31301,3942233.0,13664255.0,0.2885069840982915
2018,31302,2232548.0,12416454.0,0.1798056031134171
2018,31304,6847955.0,19682295.0,0.34792461956291176
2018,31309,7941619.0,27051418.0,0.29357496157872387
2018,31311,37085978.0,32298550.0,1.1482242391686315
2018,31312,4552589.0,47985019.0,0.09487521511661796
2018,31313,37087788.0,23280233.0,1.593102096529704
2018,31314,46738430.0,51288256.0,0.91128912630603
2018,31315,7501017.0,15980708.0,0.46937951685244483
2018,31317,20717574.0,29540424.0,0.7013296085391327
2018,31318,23043568.0,19377649.0,1.1891828570122207
2018,32000,24731470.0,8059026.0,3.0687914395610587
2018,32001,96075598.0,28597636.0,3.359564336017145
2018,32002,21282470.0,5984429.0,3.5563075441282703
2018,32004,59168571.0,13164997.0,4.494385452575492
2018,32005,57696325.0,15855487.0,3.638886967016529
2018,32006,78918729.0,26544813.0,2.9730376702973946
2018,33025,29120442.0,21197511.0,1.373767042743839
2018,33028,42147197.0,27708263.0,1.5211057077089243
2018,33029,25484986.0,15724103.0,1.6207592890990348
2018,33032,31013234.0,20774751.0,1.492833006759022
2018,33034,28825474.0,22461955.0,1.2833020990381292
2018,33036,22830436.0,20979092.0,1.088247098587489
2018,33037,41131277.0,27074949.0,1.5191636002712323
2018,33038,47310512.0,20695732.0,2.286003317012416
2018,33039,33531828.0,15618967.0,2.146865922695144
2018,33040,59815478.0,24938324.0,2.398536405253216
2018,33041,7175651.0,5391585.5,1.3308981189299511
2018,33302,1462622434.0,810205387.0,1.8052489621375474
2018,34004,109346201.0,41936447.0,2.607426446975825
2018,34013,106978542.0,36001091.0,2.9715361126139204
2018,34020,19916040.0,13198323.0,1.5089826184735742
2018,34022,50385731.0,31238300.0,1.6129472794614303
2018,34023,6459661.0,20950516.0,0.30832944639645155
2018,34024,46531842.0,26270236.0,1.7712761316647478
2018,34025,36214990.0,35838170.0,1.0105144877654189
2018,34026,87601035.0,37267620.0,2.3505937594083015
2018,34027,3763824.0,3359283.0,1.1204248049360532
2018,34028,61091954.0,35488539.0,1.7214558762196437
2018,34029,78487272.0,31559366.0,2.4869723935518855
2018,34030,53612400.0,23682278.0,2.2638193842670034
2018,34031,74456800.0,31790544.0,2.3421052499133075
2018,34032,50984000.0,20860338.0,2.4440639456561057
2018,34033,15037200.0,8016737.0,1.8757257472709907
2018,40001,53291808.0,35698899.0,1.492813769970889
2018,40002,25206085.0,32765578.0,0.7692855288559232
2018,40004,841406328.0,310978272.0,2.7056756171054936
2018,40007,915858105.0,358679798.0,2.553414243307899
2018,40010,452083552.0,256608835.0,1.7617614451973176
2018,40011,16724357.0,18111650.0,0.9234032791048855
2018,40014,258858126.0,228492843.0,1.1328938035927891
2018,40015,21077484.0,26778469.0,0.7871056407294981
2018,40016,1146343018.0,785544046.0,1.459298207194355
2018,40017,59236224.0,82908899.0,0.7144736537871526
2018,40018,39482965.0,15920688.0,2.4799785662529157
2018,40019,65014186.0,35584061.0,1.8270591993420875
2018,40020,366594577.0,322587580.0,1.136418757969541
2018,40022,1046932694.0,266041175.0,3.935228048816128
2018,40026,436526658.0,218325036.0,1.999434723555937
2018,40027,251308863.0,221533888.0,1.1344037035092347
2018,40029,218559521.0,168286472.0,1.2987349393122936
2018,40036,395171800.0,181137856.0,2.1816080234492783
2018,40039,58485854.0,65328537.0,0.895257366623716
2018,40041,279707292.0,102755651.0,2.7220623807833206
2018,40047,12491620.0,15663464.0,0.797500476267574
2018,40050,25519951.0,30498125.0,0.8367711457671578
2018,40051,28202767.0,32191159.0,0.876102876569309
2018,40055,786563340.0,253339014.0,3.104785668740307
2018,40062,511971304.0,350252160.0,1.4617220461966602
2018,40067,13387863.0,20335073.0,0.6583631639778229
2018,40069,19805046.0,19006366.0,1.0420217099891689
2018,40071,392086690.0,191218151.0,2.050467949561964
2018,40072,14513999.0,24741963.0,0.586614691809215
2018,40076,26274712.0,23774707.0,1.1051539772919179
2018,40078,677249359.0,120574191.0,5.616868364474451
2018,40084,144798828.0,109676400.0,1.3202368786721665
2018,40085,61759404.0,22841514.0,2.7038226975672455
2018,40088,230384568.0,62395157.0,3.69234695571004
2018,40114,1266821302.0,525409116.0,2.4111140507885667
2018,40118,426699451.0,173444056.0,2.460156092060024
2018,40119,213318516.0,208728447.0,1.0219906249769588
2018,40132,5750616.0,6596292.0,0.8717952449648985
2018,40134,255727635.0,197802616.0,1.2928425324769213
2018,40137,89419388.0,40405565.0,2.2130463464624244
2018,40147,126183842.0,67180826.0,1.878271666382905
2018,40152,77790902.0,34650820.0,2.24499454846956
2018,40153,22293502.0,14262170.0,1.5631213202479006
2018,40154,91841586.0,55224490.0,1.6630590160271286
2018,40155,7726638.0,1421877.0,5.434111389381782
2018,41300,3804437.0,9537799.0,0.3988799722032305
2018,41302,6111419.0,7026511.0,0.8697658055327886
2018,41303,4259323.0,9420257.0,0.45214509540450964
2018,41304,3677264.0,5812391.0,0.6326594339575572
2018,41305,4283811.0,9305315.0,0.46036173950048975
2018,41306,4537022.0,5880888.0,0.7714858708412743
2018,41307,4490440.0,12090111.0,0.3714142905718566
2018,41308,3355944.0,9794181.0,0.34264672053742934
2018,41309,2125756.0,5654030.0,0.3759718289432493
2018,41310,10330054.0,14557053.0,0.7096253616717615
2018,41311,9529678.0,20452381.0,0.4659446741188715
2018,41312,12019357.0,20258106.0,0.593310993633857
2018,41313,16341147.0,28282841.0,0.5777760091357159
2018,41314,3568703.5,5719355.5,0.6239695189431747
2018,41316,5143702.0,8431283.0,0.6100734609430143
2018,41317,1333408.0,9426981.0,0.14144591996101402
2018,41318,5214336.0,10554282.0,0.494049334668147
2018,41320,1754581.0,9238463.0,0.1899213105037061
2018,41321,18064510.0,24774352.0,0.729161755673771
2018,41322,7260138.0,9612458.0,0.7552842363524501
2018,41323,19854380.0,34320486.0,0.5784993837208482
2018,41324,8578455.0,20739781.0,0.413623220033037
2018,41326,9073196.0,14274255.0,0.6356335934870156
2018,41327,9841057.0,19114213.0,0.5148554638373026
2018,41328,8946935.0,15091657.0,0.5928398054633762
2018,41329,7165790.0,16104983.0,0.4449424131649192
2018,41330,7365551.0,17486382.0,0.4212164071447141
2018,41331,33414017.0,45861085.0,0.7285919423842676
2018,42004,14899732.0,6126830.0,2.431882719122287
2018,42006,47576084.0,10970671.0,4.336661267118483
2018,42008,18457459.0,7396877.0,2.4953043020723475
2018,42009,52480394.0,10441374.0,5.026196169201486
2018,42010,51140275.0,14228375.0,3.5942456534917024
2018,42011,16199105.0,4533689.0,3.573051658373567
2018,42012,66059318.0,19637385.0,3.3639569627015002
2018,42013,36735928.0,8290681.0,4.430990409593615
2018,43026,64932847.0,36338378.0,1.7868944783391267
2018,43028,36894172.0,22638475.0,1.6297110118945732
2018,43029,46005204.0,27814138.0,1.6540222817618868
2018,43031,47803497.0,30163719.0,1.5848011646044045
2018,43032,36828526.0,25772942.0,1.428960884636298
2018,43033,8741228.0,6418473.0,1.3618859189716932
2018,43034,5943751.0,3593330.0,1.654106636462557
2018,43035,24714900.0,17848044.0,1.3847399748678342
2018,43300,618595172.0,545886808.0,1.1331931142765406
2018,43301,16005961.0,55700670.0,0.2873567050450201
2018,44004,48800460.0,23236943.0,2.1001239276612247
2018,44005,46600780.0,21416450.0,2.175933919954054
2018,44006,40091445.0,17847259.0,2.2463642736400025
2018,44007,28032330.0,16767462.0,1.671829046041673
2018,44011,60336422.0,48691019.0,1.2391694246530351
2018,44019,23367493.0,11836874.0,1.974127037256627
2018,44020,22075605.0,10080843.0,2.1898570387417005
2018,44022,25283200.0,7558058.0,3.345197933119857
2018,50002,446971981.0,136818602.0,3.2668948115695553
2018,50006,384500833.5,172944179.0,2.2232655399173624
2018,50007,929204388.0,616388018.0,1.5074991091082501
2018,50008,451652687.0,196226142.0,2.3016947813202178
2018,50009,430247990.0,187697181.5,2.2922453420005136
2018,50013,600384233.0,214517979.0,2.7987595063069284
2018,50014,130726376.0,88392668.0,1.4789278223845443
2018,50017,2081987046.0,545234693.0,3.818515352617153
2018,50022,3597655486.0,564078879.0,6.377929789496692
2018,50024,340666736.0,145388584.0,2.343146391741459
2018,50025,3376145423.0,1960273937.0,1.722282462300574
2018,50026,2329625153.0,736688902.0,3.162291635825403
2018,50028,63366994.0,58783812.0,1.07796673682884
2018,50030,402997571.0,295541066.0,1.3635924660297463
2018,50036,1239149415.0,444829268.0,2.785674199387438
2018,50038,2554095362.0,1665127167.0,1.533874056359084
2018,50039,1712928108.0,686850993.0,2.493886047275468
2018,50040,23684510.0,527859000.0,0.04486900857994275
2018,50042,164128584.0,131675463.0,1.2464629344041114
2018,50043,572901168.5,249548050.0,2.2957549397801347
2018,50045,255009543.0,156030229.0,1.634359858563048
2018,50047,1748604662.0,990875136.0,1.7647073768132173
2018,50054,92520837.0,49529463.0,1.8679959643414668
2018,50055,265515444.0,118453572.0,2.2415148780823597
2018,50056,1210546740.0,421067509.0,2.8749469244847385
2018,50057,1194714220.0,632330534.0,1.889382460218187
2018,50058,377100430.0,113371221.0,3.326244761887146
2018,50060,3484367638.0,1229876155.0,2.833104474653385
2018,50063,708070859.0,356811325.0,1.9844405415102786
2018,50067,45420897.0,77048834.0,0.5895079087115063
